serial,end_surgeme_frame_id,start_new_video,start_new_pegtransfer,ground_truth,prediction,mispredict_in_trial,pass_type,pegs_initial_configuration,tilt,target_pole,side_of_pole
69,S7_T6_color_frame781.jpg,0,0,5,5,0,R-L,"[1, 4, 5]",3,1,L
70,S7_T6_color_frame986.jpg,0,0,6,6,0,R-L,"[1, 4, 5]",3,1,L
71,S7_T6_color_frame1068.jpg,0,1,0,0,0,R-L,"[1, 4, 5]",3,5,R
72,S7_T6_color_frame1198.jpg,0,0,1,1,0,R-L,"[1, 4, 5]",3,5,R
73,S7_T6_color_frame1251.jpg,0,0,2,2,0,R-L,"[1, 4, 5]",3,5,R
74,S7_T6_color_frame1448.jpg,0,0,3,3,0,R-L,"[1, 4, 5]",3,5,RL
75,S7_T6_color_frame1539.jpg,0,0,4,4,0,R-L,"[1, 4, 5]",3,5,RL
76,S7_T6_color_frame1688.jpg,0,0,5,5,0,R-L,"[1, 4, 5]",3,5,L
77,S7_T6_color_frame1918.jpg,0,0,6,6,0,R-L,"[1, 4, 5]",3,5,L
78,S7_T6_color_frame2095.jpg,0,1,0,0,0,R-L,"[1, 4, 5]",3,4,R
79,S7_T6_color_frame2205.jpg,0,0,1,1,0,R-L,"[1, 4, 5]",3,4,R
80,S7_T6_color_frame2231.jpg,0,0,2,2,0,R-L,"[1, 4, 5]",3,4,R
81,S7_T6_color_frame2387.jpg,0,0,3,3,0,R-L,"[1, 4, 5]",3,4,RL
82,S7_T6_color_frame2537.jpg,0,0,4,4,0,R-L,"[1, 4, 5]",3,4,RL
83,S7_T6_color_frame2703.jpg,0,0,5,5,0,R-L,"[1, 4, 5]",3,4,L
84,S8_T1_color_frame34.jpg,0,0,6,6,0,R-L,"[1, 4, 5]",3,4,L
85,S8_T1_color_frame117.jpg,1,1,0,0,0,R-L,"[4, 3, 1]",2,4,R
86,S8_T1_color_frame160.jpg,0,0,1,1,0,R-L,"[4, 3, 1]",2,4,R
87,S8_T1_color_frame188.jpg,0,0,2,2,0,R-L,"[4, 3, 1]",2,4,R
88,S8_T1_color_frame378.jpg,0,0,3,3,0,R-L,"[4, 3, 1]",2,4,RL
89,S8_T1_color_frame487.jpg,0,0,4,4,0,R-L,"[4, 3, 1]",2,4,RL
90,S8_T1_color_frame590.jpg,0,0,5,5,0,R-L,"[4, 3, 1]",2,4,L
91,S8_T1_color_frame766.jpg,0,0,6,6,0,R-L,"[4, 3, 1]",2,4,L
92,S8_T1_color_frame895.jpg,0,1,0,0,0,R-L,"[4, 3, 1]",2,3,R
93,S8_T1_color_frame1010.jpg,0,0,1,1,0,R-L,"[4, 3, 1]",2,3,R
94,S8_T1_color_frame1242.jpg,0,0,2,0,0,R-L,"[4, 3, 1]",2,3,R
95,S8_T1_color_frame1352.jpg,0,0,3,3,0,R-L,"[4, 3, 1]",2,3,RL
96,S8_T1_color_frame1397.jpg,0,0,4,4,0,R-L,"[4, 3, 1]",2,3,RL
97,S8_T1_color_frame1488.jpg,0,0,5,5,0,R-L,"[4, 3, 1]",2,3,L
98,S8_T1_color_frame1608.jpg,0,0,6,6,0,R-L,"[4, 3, 1]",2,3,L
99,S8_T1_color_frame1668.jpg,0,1,0,0,0,R-L,"[4, 3, 1]",2,1,R
100,S8_T1_color_frame1734.jpg,0,0,1,1,0,R-L,"[4, 3, 1]",2,1,R
101,S8_T1_color_frame1771.jpg,0,0,2,2,0,R-L,"[4, 3, 1]",2,1,R
102,S8_T1_color_frame1906.jpg,0,0,3,3,0,R-L,"[4, 3, 1]",2,1,RL
103,S8_T1_color_frame1972.jpg,0,0,4,4,0,R-L,"[4, 3, 1]",2,1,RL
104,S8_T1_color_frame2075.jpg,0,0,5,5,0,R-L,"[4, 3, 1]",2,1,L
105,S8_T2_color_frame33.jpg,0,0,6,6,0,R-L,"[4, 3, 1]",2,1,L
106,S8_T2_color_frame106.jpg,1,1,0,0,0,L-R,"[4, 2, 6]",2,2,L
107,S8_T2_color_frame153.jpg,0,0,1,1,0,L-R,"[4, 2, 6]",2,2,L
108,S8_T2_color_frame167.jpg,0,0,2,2,0,L-R,"[4, 2, 6]",2,2,L
109,S8_T2_color_frame286.jpg,0,0,3,3,0,L-R,"[4, 2, 6]",2,2,LR
110,S8_T2_color_frame325.jpg,0,0,4,4,0,L-R,"[4, 2, 6]",2,2,LR
111,S8_T2_color_frame417.jpg,0,0,5,5,0,L-R,"[4, 2, 6]",2,2,R
112,S8_T2_color_frame539.jpg,0,0,6,6,0,L-R,"[4, 2, 6]",2,2,R
113,S8_T2_color_frame602.jpg,0,1,0,0,0,L-R,"[4, 2, 6]",2,6,L
114,S8_T2_color_frame641.jpg,0,0,1,1,0,L-R,"[4, 2, 6]",2,6,L
115,S8_T2_color_frame661.jpg,0,0,2,2,0,L-R,"[4, 2, 6]",2,6,L
116,S8_T2_color_frame729.jpg,0,0,3,3,0,L-R,"[4, 2, 6]",2,6,LR
117,S8_T2_color_frame813.jpg,0,0,4,4,0,L-R,"[4, 2, 6]",2,6,LR
118,S8_T2_color_frame883.jpg,0,0,5,5,0,L-R,"[4, 2, 6]",2,6,R
119,S8_T2_color_frame1015.jpg,0,0,6,6,0,L-R,"[4, 2, 6]",2,6,R
120,S8_T2_color_frame1085.jpg,0,1,0,0,0,L-R,"[4, 2, 6]",2,4,L
121,S8_T2_color_frame1147.jpg,0,0,1,1,0,L-R,"[4, 2, 6]",2,4,L
122,S8_T2_color_frame1171.jpg,0,0,2,2,0,L-R,"[4, 2, 6]",2,4,L
123,S8_T2_color_frame1413.jpg,0,0,3,3,0,L-R,"[4, 2, 6]",2,4,LR
124,S8_T2_color_frame1489.jpg,0,0,4,4,0,L-R,"[4, 2, 6]",2,4,LR
125,S8_T2_color_frame1547.jpg,0,0,5,5,0,L-R,"[4, 2, 6]",2,4,R
126,S8_T3_color_frame52.jpg,0,0,6,6,0,L-R,"[4, 2, 6]",2,4,R
127,S8_T3_color_frame123.jpg,1,1,0,0,0,L-R,"[1, 4, 6]",3,4,L
128,S8_T3_color_frame181.jpg,0,0,1,1,0,L-R,"[1, 4, 6]",3,4,L
129,S8_T3_color_frame210.jpg,0,0,2,2,0,L-R,"[1, 4, 6]",3,4,L
130,S8_T3_color_frame385.jpg,0,0,3,3,0,L-R,"[1, 4, 6]",3,4,LR
131,S8_T3_color_frame493.jpg,0,0,4,4,0,L-R,"[1, 4, 6]",3,4,LR
132,S8_T3_color_frame565.jpg,0,0,5,5,0,L-R,"[1, 4, 6]",3,4,R
133,S8_T3_color_frame735.jpg,0,0,6,6,0,L-R,"[1, 4, 6]",3,4,R
134,S8_T3_color_frame828.jpg,0,1,0,0,0,L-R,"[1, 4, 6]",3,6,L
135,S8_T3_color_frame914.jpg,0,0,1,1,0,L-R,"[1, 4, 6]",3,6,L
136,S8_T3_color_frame945.jpg,0,0,2,2,0,L-R,"[1, 4, 6]",3,6,L
137,S8_T3_color_frame1138.jpg,0,0,3,3,0,L-R,"[1, 4, 6]",3,6,LR
138,S8_T3_color_frame1203.jpg,0,0,4,4,0,L-R,"[1, 4, 6]",3,6,LR
139,S8_T3_color_frame1351.jpg,0,0,5,5,0,L-R,"[1, 4, 6]",3,6,R
140,S8_T3_color_frame1569.jpg,0,0,6,6,0,L-R,"[1, 4, 6]",3,6,R
141,S8_T3_color_frame1630.jpg,0,1,0,0,0,L-R,"[1, 4, 6]",3,1,L
142,S8_T3_color_frame1692.jpg,0,0,1,1,0,L-R,"[1, 4, 6]",3,1,L
143,S8_T3_color_frame1715.jpg,0,0,2,2,0,L-R,"[1, 4, 6]",3,1,L
144,S8_T3_color_frame1801.jpg,0,0,3,3,0,L-R,"[1, 4, 6]",3,1,LR
145,S8_T3_color_frame1902.jpg,0,0,4,4,0,L-R,"[1, 4, 6]",3,1,LR
146,S8_T3_color_frame1961.jpg,0,0,5,5,0,L-R,"[1, 4, 6]",3,1,R
147,S8_T4_color_frame46.jpg,0,0,6,6,0,L-R,"[1, 4, 6]",3,1,R
148,S8_T4_color_frame133.jpg,1,1,0,0,1,R-L,"[5, 6, 1]",1,5,R
149,S8_T4_color_frame184.jpg,0,0,1,1,1,R-L,"[5, 6, 1]",1,5,R
150,S8_T4_color_frame204.jpg,0,0,2,6,1,R-L,"[5, 6, 1]",1,5,R
151,S8_T4_color_frame346.jpg,0,0,3,5,1,R-L,"[5, 6, 1]",1,5,RL
152,S8_T4_color_frame423.jpg,0,0,4,4,1,R-L,"[5, 6, 1]",1,5,RL
153,S8_T4_color_frame541.jpg,0,0,5,5,1,R-L,"[5, 6, 1]",1,5,L
154,S8_T4_color_frame645.jpg,0,0,6,2,1,R-L,"[5, 6, 1]",1,5,L
155,S8_T4_color_frame784.jpg,0,1,0,0,0,R-L,"[5, 6, 1]",1,6,R
156,S8_T4_color_frame824.jpg,0,0,1,1,0,R-L,"[5, 6, 1]",1,6,R
157,S8_T4_color_frame850.jpg,0,0,2,2,0,R-L,"[5, 6, 1]",1,6,R
158,S8_T4_color_frame954.jpg,0,0,3,3,0,R-L,"[5, 6, 1]",1,6,RL
159,S8_T4_color_frame1036.jpg,0,0,4,4,0,R-L,"[5, 6, 1]",1,6,RL
160,S8_T4_color_frame1126.jpg,0,0,5,5,0,R-L,"[5, 6, 1]",1,6,L
161,S8_T4_color_frame1251.jpg,0,0,6,6,0,R-L,"[5, 6, 1]",1,6,L
162,S8_T4_color_frame1342.jpg,0,1,0,0,0,R-L,"[5, 6, 1]",1,1,R
163,S8_T4_color_frame1609.jpg,0,0,1,1,0,R-L,"[5, 6, 1]",1,1,R
164,S8_T4_color_frame1642.jpg,0,0,2,2,0,R-L,"[5, 6, 1]",1,1,R
165,S8_T4_color_frame1748.jpg,0,0,3,3,0,R-L,"[5, 6, 1]",1,1,RL
166,S8_T4_color_frame1815.jpg,0,0,4,4,0,R-L,"[5, 6, 1]",1,1,RL
167,S8_T4_color_frame1862.jpg,0,0,5,5,0,R-L,"[5, 6, 1]",1,1,L
168,S8_T4_color_frame1950.jpg,0,0,6,6,0,R-L,"[5, 6, 1]",1,1,L
